,Acquired Immunodeficiency Syndrome,Adenocarcinoma,Alzheimer Disease,"Arthritis, Rheumatoid",Astrocytoma,Atherosclerosis,Autistic Disorder,Beckwith-Wiedemann Syndrome,Bipolar Disorder,Breast Neoplasms,"Carcinoma, Basal Cell","Carcinoma, Hepatocellular","Carcinoma, Non-Small-Cell Lung","Carcinoma, Renal Cell","Carcinoma, Squamous Cell",Cardiomegaly,Cardiovascular Diseases,Choriocarcinoma,Colonic Neoplasms,Colorectal Neoplasms,Coronary Disease,"Depressive Disorder, Major",Diabetes Mellitus,"Diabetes Mellitus, Type 2",DiGeorge Syndrome,Down Syndrome,Endometrial Neoplasms,Esophageal Neoplasms,Fetal Alcohol Spectrum Disorders,Fragile X Syndrome,Gastrointestinal Stromal Tumors,Glioblastoma,Glioma,HIV Infections,Huntington Disease,Inflammatory Bowel Diseases,Intracranial Aneurysm,Kidney Neoplasms,Leukemia,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Myeloid, Acute","Leukemia, T-Cell",Lithiasis,Liver Neoplasms,Lung Neoplasms,Lymphoma,"Lymphoma, B-Cell",Melanoma,Meningioma,"Muscular Dystrophy, Duchenne",Myocardial Infarction,Nervous System Diseases,Neuroblastoma,Neurodegenerative Diseases,"Neurofibroma, Plexiform",Neurofibromatosis 1,Osteosarcoma,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Parotid Neoplasms,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Prostatic Hyperplasia,Prostatic Neoplasms,Pseudohypoaldosteronism,Psoriasis,Psychotic Disorders,Rhabdomyosarcoma,Schizophrenia,Stomach Neoplasms,Stroke,Thyroid Neoplasms,Tongue Neoplasms,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Uterine Neoplasms,Vascular Malformations,Wilms Tumor
"Leukemia, T-Cell",0.029339853,0.083333333,0,0.04950495,0.067961165,0,0,0,0,0.060240964,0.075,0.058823529,0.015781923,0.046875,0.075,0,0,0.083333333,0.014836795,0.015706806,0,0,0,0,0.054794521,0,0.018518519,0.04,0,0,0.06122449,0.054908486,0.09202454,0.046511628,0,0,0,0.02247191,0.217391304,0.483870968,0.194444444,1,0,0.036144578,0.023809524,0.505617978,0.272727273,0.118644068,0.09947644,0,0,0,0.054908486,0,0.060509554,0.050321199,0.082872928,0.034334764,0.031578947,0,0.017142857,0.050847458,0.028901734,0,0.609756098,0,0.02247191,0,0,0,0.058823529,0,0.023255814,0,0.032967033,0.023255814,0.02247191,0.016853933,0.02247191,0,0.119469027
Lithiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085714286,0,0,0,0,0,0,0,0,0,0.052023121,0,0,0,0.04815864,0,0,0,0,0.04245283,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041860465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver Neoplasms,0,0.04109589,0,0,0.03514377,0,0,0,0,0.214285714,0.037037037,0.417989418,0.080851064,0.077319588,0.037037037,0,0,0.047826087,0.237536657,0.233160622,0,0,0,0,0,0,0.091463415,0.326732673,0,0,0.272727273,0.031198686,0.042424242,0,0,0.075,0,0.1,0.085714286,0.031847134,0.04109589,0.036144578,0,1,0.105882353,0.066666667,0.038461538,0.05027933,0.098445596,0,0,0,0.031198686,0,0.091194969,0.073248408,0.038251366,0.127659574,0.375,0,0.084745763,0.030100334,0.113402062,0,0.036144578,0,0.1,0,0,0,0.032258065,0,0.310344828,0,0.130434783,0.103448276,0.1,0.083333333,0.1,0,0.118421053
Lung Neoplasms,0,0.027027027,0,0,0.022082019,0,0,0,0,0.176470588,0.024390244,0.068062827,0.41654979,0.045918367,0.024390244,0,0,0.038793103,0.043478261,0.046153846,0,0,0,0,0,0,0.054216867,0.117647059,0,0,0.06,0.017828201,0.02994012,0,0,0,0,0.065934066,0.070422535,0.018867925,0.027027027,0.023809524,0,0.105882353,1,0.054945055,0.025316456,0.038674033,0.066666667,0,0,0,0.017828201,0,0.052795031,0.047368421,0.027027027,0.101265823,0.092783505,0,0.05027933,0.01650165,0.085130533,0,0.023809524,0,0.065934066,0,0,0,0.01910828,0,0.068181818,0,0.096774194,0.068181818,0.065934066,0.049450549,0.065934066,0,0.091304348
Lymphoma,0.036613272,0.189873418,0,0.055555556,0.169139466,0,0,0,0,0.088888889,0.172413793,0.144278607,0.046480744,0.131067961,0.172413793,0,0,0.152892562,0.046575342,0.043902439,0,0,0,0,0.077253219,0,0.051136364,0.065420561,0,0,0.142857143,0.159817352,0.186440678,0.052401747,0,0,0,0.052083333,0.315789474,0.455621302,0.189873418,0.505617978,0,0.066666667,0.054945055,1,0.476190476,0.204188482,0.180487805,0,0,0,0.159817352,0,0.160818713,0.12020202,0.169230769,0.056680162,0.058823529,0,0.047619048,0.157894737,0.05320304,0,0.505617978,0,0.052083333,0,0,0,0.161676647,0,0.053763441,0,0.06122449,0.053763441,0.052083333,0.046875,0.052083333,0,0.1875
"Lymphoma, B-Cell",0.025706941,0.089552239,0,0.046875,0.07266436,0,0,0,0,0.064102564,0.08,0.062146893,0.01674277,0.049450549,0.08,0,0,0.087155963,0.015772871,0.016574586,0,0,0,0,0.043062201,0,0.019736842,0.042105263,0,0,0.064516129,0.058823529,0.098039216,0.043902439,0,0,0,0.023809524,0.234375,0.2,0.089552239,0.272727273,0,0.038461538,0.025316456,0.476190476,1,0.125748503,0.104972376,0,0,0,0.058823529,0,0.06462585,0.052572707,0.087719298,0.035874439,0.033333333,0,0.018181818,0.054545455,0.03030303,0,0.272727273,0,0.023809524,0,0,0,0.062937063,0,0.024691358,0,0.034883721,0.024691358,0.023809524,0.017857143,0.023809524,0,0.125
Melanoma,0,0.133757962,0,0,0.259701493,0,0,0,0,0.072625698,0.121387283,0.1,0.03070761,0.087804878,0.121387283,0,0,0.182572614,0.03030303,0.029411765,0,0,0,0,0,0,0.034285714,0.051643192,0,0,0.100478469,0.228177642,0.318181818,0,0,0,0,0.036649215,0.258278146,0.107142857,0.133757962,0.118644068,0,0.05027933,0.038674033,0.204188482,0.125748503,1,0.235294118,0,0,0,0.228177642,0,0.155882353,0.10851927,0.12371134,0.044715447,0.044334975,0,0.031914894,0.401869159,0.040348964,0,0.118644068,0,0.036649215,0,0,0,0.108433735,0,0.037837838,0,0.046153846,0.037837838,0.036649215,0.031413613,0.036649215,0,0.150627615
Meningioma,0,0.111111111,0.040201005,0,0.195592287,0,0,0,0,0.160621762,0.101604278,0.112149533,0.045962733,0.091324201,0.101604278,0,0,0.101960784,0.043478261,0.04587156,0,0,0,0,0,0.017699115,0.052910053,0.110132159,0,0.021786492,0.112107623,0.181946403,0.221052632,0,0.033962264,0,0.014563107,0.063414634,0.224242424,0.087912088,0.111111111,0.09947644,0,0.098445596,0.066666667,0.180487805,0.104972376,0.235294118,1,0.024038462,0,0,0.181946403,0.114649682,0.266304348,0.203454894,0.105769231,0.096153846,0.087557604,0.061904762,0.04950495,0.186246418,0.157245632,0.014925373,0.09947644,0,0.063414634,0,0,0,0.088888889,0,0.065326633,0.021857923,0.090909091,0.065326633,0.063414634,0.048780488,0.063414634,0,0.150197628
"Muscular Dystrophy, Duchenne",0,0,0.047619048,0.063926941,0,0,0,0.131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097457627,0.134259259,0,0,0.071856287,0.218678815,0,0,0,0,0.133333333,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0.024038462,1,0,0,0,0.129251701,0.066091954,0.174650699,0,0,0,0.07,0,0,0.019292605,0.112403101,0,0,0,0.097826087,0,0,0,0,0,0.028901734,0,0,0,0,0,0.047904192,0.098765432
Myocardial Infarction,0,0,0,0,0,0.138461538,0,0,0,0,0,0,0,0,0,0.236842105,0,0,0,0,0.529411765,0,0,0,0.087804878,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169014085,0,0,0,0,0,0.088235294,0
Nervous System Diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuroblastoma,0,0.140115163,0,0,0.261101243,0,0,0,0,0.057471264,0.124786325,0.076479076,0.009345794,0.063113604,0.124786325,0,0,0.159859977,0.008077544,0.009873061,0,0,0,0,0,0,0.011804384,0.036241611,0,0,0.04526749,0.179487179,0.41038526,0,0,0,0,0.01674277,0.211267606,0.037168142,0.063339731,0.054908486,0,0.031198686,0.017828201,0.159817352,0.058823529,0.228177642,0.181946403,0,0,0,1,0,0.07504363,0.050056883,0.067264574,0.030786773,0.026950355,0,0.010852713,0.117757009,0.024691358,0,0.054908486,0,0.01674277,0,0,0,0.037701975,0,0.017377567,0,0.028231798,0.017377567,0.01674277,0.01065449,0.01674277,0,0.109540636
Neurodegenerative Diseases,0,0,0.15942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109090909,0,0,0,0.112759644,0,0,0,0,0.112745098,0,0.117241379,0,0,0,0,0,0,0,0,0,0,0,0.114649682,0.129251701,0,0,0,1,0.142276423,0.114035088,0,0,0,0.181208054,0,0,0.096021948,0.086956522,0,0,0,0,0,0,0,0,0,0.147540984,0,0,0,0,0,0,0
"Neurofibroma, Plexiform",0,0.069343066,0.045454545,0,0.094915254,0,0,0,0,0.166666667,0.062091503,0.075,0.028400598,0.051351351,0.062091503,0,0,0.074660633,0.024767802,0.029891304,0,0,0,0,0,0.018229167,0.035483871,0.106217617,0,0.023017903,0.076719577,0.07504363,0.131410256,0,0.036796537,0,0.014534884,0.049707602,0.209923664,0.043918919,0.069343066,0.060509554,0,0.091194969,0.052795031,0.160818713,0.06462585,0.155882353,0.266304348,0.066091954,0,0,0.07504363,0.142276423,1,0.434878587,0.07183908,0.090707965,0.079234973,0.071022727,0.032738095,0.078291815,0.101553166,0.014957265,0.060509554,0,0.049707602,0,0,0,0.044520548,0,0.051515152,0.023489933,0.082857143,0.051515152,0.049707602,0.032163743,0.049707602,0,0.125570776
Neurofibromatosis 1,0,0.055035129,0.102484472,0.016574586,0.063616071,0,0,0.197452229,0,0.181528662,0.051198257,0.059454191,0.030769231,0.043021033,0.051198257,0,0,0.06302521,0.028361345,0.031669866,0,0,0,0,0.109185442,0.205772812,0.035637149,0.086270872,0.047835991,0.192095588,0.078154426,0.050056883,0.089247312,0,0.225203252,0,0.031187123,0.045454545,0.143373494,0.038975501,0.055035129,0.050321199,0,0.073248408,0.047368421,0.12020202,0.052572707,0.10851927,0.203454894,0.174650699,0,0,0.050056883,0.114035088,0.434878587,1,0.068862275,0.076859504,0.066473988,0.14950495,0.033742331,0.051843318,0.098862642,0.177938808,0.050321199,0,0.045454545,0.057082452,0.063829787,0,0.039325843,0,0.046583851,0.038802661,0.068588469,0.046583851,0.045454545,0.033333333,0.045454545,0.070615034,0.246192893
Osteosarcoma,0,0.093167702,0,0.082191781,0.078717201,0,0,0,0,0.092896175,0.084745763,0.068627451,0.019607843,0.057416268,0.084745763,0,0,0.089795918,0.018867925,0.019230769,0,0,0,0,0,0,0.022346369,0.041474654,0,0,0.361502347,0.067264574,0.1,0,0,0,0,0.025641026,0.212903226,0.069767442,0.093167702,0.082872928,0,0.038251366,0.027027027,0.169230769,0.087719298,0.12371134,0.105769231,0,0,0,0.067264574,0,0.07183908,0.068862275,1,0.036,0.033816425,0,0.020833333,0.063829787,0.031082529,0,0.082872928,0,0.025641026,0,0.037735849,0,0.305882353,0,0.026455026,0,0.035175879,0.026455026,0.025641026,0.020512821,0.025641026,0,0.12345679
Ovarian Neoplasms,0.078610603,0.037558685,0,0,0.033557047,0,0,0,0,0.178723404,0.034934498,0.09765625,0.083247688,0.195402299,0.034934498,0,0,0.063973064,0.082105263,0.080769231,0,0,0.123348018,0.090497738,0.048611111,0,0.359307359,0.133828996,0.03196347,0,0.090566038,0.030786773,0.038793103,0.091549296,0,0,0,0.255060729,0.06763285,0.03125,0.037558685,0.034334764,0,0.127659574,0.101265823,0.056680162,0.035874439,0.044715447,0.096153846,0,0,0,0.030786773,0,0.090707965,0.076859504,0.036,1,0.316602317,0,0.086065574,0.030023095,0.290096407,0,0.034334764,0.037914692,0.255060729,0.076271186,0,0,0.031531532,0,0.099585062,0,0.326693227,0.099585062,0.255060729,0.336032389,0.433198381,0,0.213559322
Pancreatic Neoplasms,0,0.035294118,0,0,0.030470914,0,0,0,0,0.1875,0.032258065,0.258215962,0.071161049,0.068807339,0.032258065,0,0,0.043307087,0.208226221,0.207373272,0,0,0.130434783,0.08988764,0.040816327,0,0.079787234,0.292035398,0,0,0.243243243,0.026950355,0.037037037,0,0,0.065217391,0,0.088235294,0.073170732,0.027624309,0.035294118,0.031578947,0,0.375,0.092783505,0.058823529,0.033333333,0.044334975,0.087557604,0,0,0,0.026950355,0,0.079234973,0.066473988,0.033816425,0.316602317,1,0,0.074626866,0.025936599,0.300309598,0,0.031578947,0,0.088235294,0,0,0,0.027932961,0,0.272727273,0,0.346153846,0.090909091,0.088235294,0.073529412,0.088235294,0,0.107142857
Parkinson Disease,0,0,0.329842932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059633028,0,0,0,0.153498871,0,0,0,0,0.39688716,0,0.141414141,0,0,0,0,0,0,0,0,0,0,0,0.061904762,0.07,0,0,0,0.181208054,0.071022727,0.14950495,0,0,0,1,0,0,0.133900106,0.05,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
Parotid Neoplasms,0,0.019354839,0,0,0.01510574,0,0,0,0,0.152542373,0.01754386,0.050505051,0.028340081,0.02955665,0.01754386,0,0,0.033472803,0.025069638,0.02970297,0,0,0,0,0,0,0.034682081,0.194312796,0,0,0.043478261,0.010852713,0.022988506,0,0,0,0,0.047619048,0.060402685,0.012048193,0.019354839,0.017142857,0,0.084745763,0.05027933,0.047619048,0.018181818,0.031914894,0.04950495,0,0,0,0.010852713,0,0.032738095,0.033742331,0.020833333,0.086065574,0.074626866,0,1,0.009463722,0.069306931,0,0.017142857,0,0.047619048,0,0,0,0.012195122,0,0.049180328,0,0.18134715,0.344262295,0.047619048,0.031746032,0.047619048,0,0.075949367
Pheochromocytoma,0,0.058823529,0,0,0.15942029,0,0,0,0,0.056856187,0.052264808,0.038123167,0.00792393,0.025641026,0.052264808,0,0,0.134751773,0.006578947,0.008595989,0,0,0,0,0,0,0.010309278,0.035422343,0,0,0.04178273,0.117757009,0.235494881,0,0,0,0,0.015479876,0.209876543,0.032490975,0.058823529,0.050847458,0,0.030100334,0.01650165,0.157894737,0.054545455,0.401869159,0.186246418,0,0,0,0.117757009,0,0.078291815,0.051843318,0.063829787,0.030023095,0.025936599,0,0.009463722,1,0.023779725,0,0.050847458,0,0.015479876,0,0,0,0.032967033,0,0.01607717,0,0.027190332,0.01607717,0.015479876,0.009287926,0.015479876,0,0.107398568
Pituitary Neoplasms,0,0.031847134,0.127090301,0,0.027811366,0,0,0,0,0.16838488,0.029446408,0.082549634,0.066225166,0.064483112,0.029446408,0,0,0.04014273,0.064552661,0.064748201,0,0,0.114149822,0.078335373,0.036866359,0.013930348,0.073512252,0.121902874,0,0.017664377,0.075528701,0.024691358,0.033681765,0,0.108527132,0,0.075675676,0.081433225,0.064388962,0.025331725,0.031847134,0.028901734,0,0.113402062,0.085130533,0.05320304,0.03030303,0.040348964,0.157245632,0.019292605,0,0,0.024691358,0.096021948,0.101553166,0.098862642,0.031082529,0.290096407,0.300309598,0.133900106,0.069306931,0.023779725,1,0.011935209,0.028901734,0,0.081433225,0,0,0,0.025578563,0,0.08361204,0.117647059,0.310565635,0.08361204,0.081433225,0.068403909,0.081433225,0,0.099730458
Prader-Willi Syndrome,0,0,0.032128514,0,0,0,0,0.427983539,0,0,0,0,0,0,0,0.020576132,0,0,0,0,0,0,0.025531915,0.017467249,0.273648649,0.615942029,0,0,0.052863436,0.37745975,0,0,0,0,0.149206349,0,0.01171875,0,0,0,0,0,0.041860465,0,0,0,0,0,0.014925373,0.112403101,0,0,0,0.086956522,0.014957265,0.177938808,0,0,0,0.05,0,0,0.011935209,1,0,0,0,0.090163934,0,0,0,0,0,0.017167382,0,0,0,0,0,0.105726872,0.079207921
Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.029339853,0.083333333,0,0.04950495,0.067961165,0,0,0,0,0.060240964,0.075,0.058823529,0.015781923,0.046875,0.075,0,0,0.083333333,0.014836795,0.015706806,0,0,0,0,0.054794521,0,0.018518519,0.04,0,0,0.06122449,0.054908486,0.09202454,0.046511628,0,0,0,0.02247191,0.217391304,0.483870968,0.194444444,0.609756098,0,0.036144578,0.023809524,0.505617978,0.272727273,0.118644068,0.09947644,0,0,0,0.054908486,0,0.060509554,0.050321199,0.082872928,0.034334764,0.031578947,0,0.017142857,0.050847458,0.028901734,0,1,0,0.02247191,0,0,0,0.058823529,0,0.023255814,0,0.032967033,0.023255814,0.02247191,0.016853933,0.02247191,0,0.119469027
Prostatic Hyperplasia,0.082191781,0,0,0,0,0,0,0,0,0,0,0,0,0.035294118,0,0,0,0,0,0,0,0,0,0,0,0,0.042857143,0,0,0,0,0,0,0.093264249,0,0,0,0.051282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037914692,0,0,0,0,0,0,0,1,0.358974359,0.04137931,0,0,0,0,0,0,0,0,0.051282051,0.038461538,0.051282051,0,0.029411765
Prostatic Neoplasms,0.102974828,0.025316456,0,0,0.020771513,0,0,0,0,0.166666667,0.022988506,0.064676617,0.043824701,0.174757282,0.022988506,0,0,0.05785124,0.04109589,0.043902439,0,0,0,0,0,0,0.204545455,0.112149533,0.036585366,0,0.057142857,0.01674277,0.028248588,0.11790393,0,0,0,0.25,0.065789474,0.017751479,0.025316456,0.02247191,0,0.1,0.065934066,0.052083333,0.023809524,0.036649215,0.063414634,0,0,0,0.01674277,0,0.049707602,0.045454545,0.025641026,0.255060729,0.088235294,0,0.047619048,0.015479876,0.081433225,0,0.02247191,0.358974359,1,0.082872928,0,0,0.017964072,0,0.064516129,0,0.091836735,0.064516129,0.25,0.1875,0.25,0,0.2
Pseudohypoaldosteronism,0.036144578,0,0,0,0,0,0,0.106508876,0,0,0,0,0,0.174358974,0,0,0,0.017316017,0,0,0,0,0.111801242,0.077419355,0.058558559,0.089108911,0.060606061,0,0.098039216,0.058394161,0,0,0,0.04587156,0.074688797,0,0,0.281767956,0,0,0,0,0,0,0,0,0,0,0,0.097826087,0,0,0,0,0,0.057082452,0,0.076271186,0,0,0,0,0,0.090163934,0,0.04137931,0.082872928,1,0,0,0,0,0,0,0,0,0.149171271,0.055248619,0.082872928,0.039215686,0.227074236
Psoriasis,0,0,0,0.044444444,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045977011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063829787,0.037735849,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Psychotic Disorders,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.428571429,0,0,0,0,0,0,0,0,0
Rhabdomyosarcoma,0,0.067669173,0,0,0.052264808,0,0,0,0,0.058064516,0.060402685,0.045454545,0.010719755,0.033149171,0.060402685,0,0,0.073732719,0.00952381,0.011111111,0,0,0,0,0,0,0.013245033,0.037037037,0,0,0.113513514,0.037701975,0.078947368,0,0,0,0,0.017964072,0.212598425,0.041666667,0.067669173,0.058823529,0,0.032258065,0.01910828,0.161676647,0.062937063,0.108433735,0.088888889,0,0,0,0.037701975,0,0.044520548,0.039325843,0.305882353,0.031531532,0.027932961,0,0.012195122,0.032967033,0.025578563,0,0.058823529,0,0.017964072,0,0,0,1,0,0.01863354,0,0.029239766,0.01863354,0.017964072,0.011976048,0.017964072,0,0.111627907
Schizophrenia,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,1,0,0,0,0,0,0,0,0,0
Stomach Neoplasms,0,0.026315789,0,0,0.021538462,0,0,0,0,0.172413793,0.023809524,0.18974359,0.04526749,0.045,0.023809524,0,0,0.038135593,0.297450425,0.316582915,0,0,0,0,0,0,0.052941176,0.461538462,0,0,0.411764706,0.017377567,0.029239766,0,0,0.144578313,0,0.064516129,0.068493151,0.018404908,0.026315789,0.023255814,0,0.310344828,0.068181818,0.053763441,0.024691358,0.037837838,0.065326633,0,0,0,0.017377567,0,0.051515152,0.046583851,0.026455026,0.099585062,0.272727273,0,0.049180328,0.01607717,0.08361204,0,0.023255814,0,0.064516129,0,0,0,0.01863354,0,1,0,0.094736842,0.066666667,0.064516129,0.048387097,0.064516129,0,0.08974359
Stroke,0,0,0.195121951,0,0,0.132352941,0,0,0,0,0,0,0,0,0,0.075949367,0,0,0,0,0.169014085,0,0,0,0.028436019,0.020942408,0,0,0,0.025706941,0,0,0,0,0.152173913,0,0.438596491,0,0,0,0,0,0,0,0,0,0,0,0.021857923,0.028901734,0.169014085,0,0,0.147540984,0.023489933,0.038802661,0,0,0,0.2,0,0,0.117647059,0.017167382,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.084507042,0
Thyroid Neoplasms,0,0.037037037,0,0,0.031884058,0,0,0,0,0.195652174,0.033707865,0.092682927,0.074122237,0.071428571,0.033707865,0,0,0.044715447,0.072386059,0.071770335,0,0,0.136363636,0.094117647,0.042194093,0,0.083333333,0.28440367,0,0,0.08411215,0.028231798,0.038674033,0,0,0,0,0.091836735,0.076923077,0.028901734,0.037037037,0.032967033,0,0.130434783,0.096774194,0.06122449,0.034883721,0.046153846,0.090909091,0,0,0,0.028231798,0,0.082857143,0.068588469,0.035175879,0.326693227,0.346153846,0,0.18134715,0.027190332,0.310565635,0,0.032967033,0,0.091836735,0,0,0,0.029239766,0,0.094736842,0,1,0.221052632,0.091836735,0.076530612,0.091836735,0,0.110655738
Tongue Neoplasms,0,0.026315789,0,0,0.021538462,0,0,0,0,0.172413793,0.023809524,0.066666667,0.04526749,0.045,0.023809524,0,0,0.038135593,0.042492918,0.045226131,0,0,0,0,0,0,0.052941176,0.230769231,0,0,0.058823529,0.017377567,0.029239766,0,0,0,0,0.064516129,0.068493151,0.018404908,0.026315789,0.023255814,0,0.103448276,0.068181818,0.053763441,0.024691358,0.037837838,0.065326633,0,0,0,0.017377567,0,0.051515152,0.046583851,0.026455026,0.099585062,0.090909091,0,0.344262295,0.01607717,0.08361204,0,0.023255814,0,0.064516129,0,0,0,0.01863354,0,0.066666667,0,0.221052632,1,0.064516129,0.048387097,0.064516129,0,0.08974359
Urinary Bladder Neoplasms,0.057208238,0.025316456,0,0,0.020771513,0,0,0,0,0.166666667,0.022988506,0.064676617,0.043824701,0.349514563,0.022988506,0,0,0.05785124,0.04109589,0.043902439,0,0,0,0,0,0,0.204545455,0.112149533,0.036585366,0,0.057142857,0.01674277,0.028248588,0.065502183,0,0,0,0.5,0.065789474,0.017751479,0.025316456,0.02247191,0,0.1,0.065934066,0.052083333,0.023809524,0.036649215,0.063414634,0,0,0,0.01674277,0,0.049707602,0.045454545,0.025641026,0.255060729,0.088235294,0,0.047619048,0.015479876,0.081433225,0,0.02247191,0.051282051,0.25,0.149171271,0,0,0.017964072,0,0.064516129,0,0.091836735,0.064516129,1,0.1875,0.25,0,0.35
Uterine Cervical Neoplasms,0.061784897,0.018987342,0,0,0.014836795,0,0,0,0,0.15,0.017241379,0.049751244,0.027888446,0.116504854,0.017241379,0,0,0.049586777,0.024657534,0.029268293,0,0,0,0,0,0,0.545454545,0.098130841,0.030487805,0,0.042857143,0.01065449,0.02259887,0.07860262,0,0,0,0.1875,0.059210526,0.01183432,0.018987342,0.016853933,0,0.083333333,0.049450549,0.046875,0.017857143,0.031413613,0.048780488,0,0,0,0.01065449,0,0.032163743,0.033333333,0.020512821,0.336032389,0.073529412,0,0.031746032,0.009287926,0.068403909,0,0.016853933,0.038461538,0.1875,0.055248619,0,0,0.011976048,0,0.048387097,0,0.076530612,0.048387097,0.1875,1,0.5,0,0.15
Uterine Neoplasms,0.102974828,0.025316456,0,0,0.020771513,0,0,0,0,0.166666667,0.022988506,0.064676617,0.043824701,0.174757282,0.022988506,0,0,0.05785124,0.04109589,0.043902439,0,0,0,0,0,0,0.545454545,0.112149533,0.036585366,0,0.057142857,0.01674277,0.028248588,0.11790393,0,0,0,0.25,0.065789474,0.017751479,0.025316456,0.02247191,0,0.1,0.065934066,0.052083333,0.023809524,0.036649215,0.063414634,0,0,0,0.01674277,0,0.049707602,0.045454545,0.025641026,0.433198381,0.088235294,0,0.047619048,0.015479876,0.081433225,0,0.02247191,0.051282051,0.25,0.082872928,0,0,0.017964072,0,0.064516129,0,0.091836735,0.064516129,0.25,0.5,1,0,0.2
Vascular Malformations,0,0,0,0,0,0.076923077,0,0.157894737,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0.088235294,0,0,0,0.248780488,0.12972973,0,0,0.088235294,0.095490716,0,0,0,0,0.035714286,0,0.084848485,0,0,0,0,0,0,0,0,0,0,0,0,0.047904192,0.088235294,0,0,0,0,0.070615034,0,0,0,0,0,0,0,0.105726872,0,0,0,0.039215686,0,0,0,0,0,0.084507042,0,0,0,0,0,1,0.037735849
Wilms Tumor,0.028142589,0.131067961,0,0,0.11778291,0,0,0.105263158,0,0.171052632,0.121621622,0.128514056,0.073015873,0.464566929,0.121621622,0,0,0.131034483,0.071583514,0.071146245,0,0,0,0,0.067615658,0.091954023,0.160714286,0.125954198,0.080188679,0.06805293,0.127906977,0.109540636,0.133333333,0.036101083,0.08,0,0,0.45,0.225,0.110599078,0.131067961,0.119469027,0,0.118421053,0.091304348,0.1875,0.125,0.150627615,0.150197628,0.098765432,0,0,0.109540636,0,0.125570776,0.246192893,0.12345679,0.213559322,0.107142857,0,0.075949367,0.107398568,0.099730458,0.079207921,0.119469027,0.029411765,0.2,0.227074236,0,0,0.111627907,0,0.08974359,0,0.110655738,0.08974359,0.35,0.15,0.2,0.037735849,1
